Mary	F	13136	1901	92
Mary	F	14486	1902	92
Mary	F	14275	1903	92
Mary	F	14961	1904	92
Mary	F	16067	1905	92
Mary	F	16370	1906	92
Mary	F	17580	1907	92
Mary	F	18665	1908	92
Mary	F	19259	1909	92
Mary	F	22848	1910	92
Mary	F	24390	1911	92
Mary	F	32304	1912	92
Mary	F	36642	1913	92
Mary	F	45345	1914	92
Mary	F	58187	1915	92
Mary	F	61438	1916	92
Mary	F	64281	1917	92
Mary	F	67366	1918	92
Mary	F	65838	1919	92
Mary	F	70982	1920	92
Mary	F	73985	1921	92
Mary	F	72173	1922	92
Mary	F	71638	1923	92
Mary	F	73534	1924	92
Mary	F	70591	1925	92
Mary	F	67832	1926	92
Mary	F	70639	1927	92
Mary	F	66872	1928	92
Mary	F	63508	1929	92
Mary	F	64146	1930	92
Mary	F	60296	1931	92
Mary	F	59874	1932	92
Mary	F	55509	1933	92
Mary	F	56929	1934	92
Mary	F	55069	1935	92
Mary	F	54372	1936	92
Mary	F	55645	1937	92
Mary	F	56215	1938	92
Mary	F	54901	1939	92
Mary	F	56203	1940	92
Mary	F	58040	1941	92
Mary	F	63254	1942	92
Mary	F	66169	1943	92
Mary	F	62467	1944	92
Mary	F	59283	1945	92
Mary	F	67467	1946	92
Mary	F	71687	1947	92
Mary	F	68597	1948	92
Mary	F	66864	1949	92
Mary	F	65481	1950	92
Mary	F	65721	1951	92
Mary	F	65634	1952	92
Mary	F	64379	1953	92
Mary	F	68007	1954	92
Mary	F	63165	1955	92
Mary	F	61756	1956	92
Mary	F	61094	1957	92
Mary	F	55857	1958	92
Mary	F	54474	1959	92
Mary	F	51475	1960	92
Mary	F	47680	1961	92
Mary	F	43486	1962	92
Mary	F	41550	1963	92
Mary	F	40990	1964	92
Mary	F	34270	1965	92
Mary	F	28884	1966	92
Mary	F	25313	1967	92
Mary	F	21725	1968	92
Mary	F	19851	1969	92
Mary	F	19203	1970	92
Mary	F	16697	1971	92
Charles	M	5348	1880	75
Charles	M	4636	1881	75
Charles	M	5091	1882	75
Charles	M	4826	1883	75
Charles	M	4802	1884	75
Charles	M	4599	1885	75
Charles	M	4533	1886	75
Charles	M	4031	1887	75
Charles	M	4591	1888	75
Charles	M	4199	1889	75
Charles	M	4061	1890	75
Charles	M	3640	1891	75
Charles	M	4319	1892	75
Charles	M	3723	1893	75
Charles	M	3788	1894	75
Charles	M	3633	1895	75
Charles	M	3639	1896	75
Charles	M	3341	1897	75
Charles	M	3557	1898	75
Charles	M	3147	1899	75
Charles	M	4098	1900	75
Charles	M	3049	1901	75
Charles	M	3361	1902	75
Charles	M	3213	1903	75
